(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0): 0.44117438027521566
(0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0): 0.5007224555453645
(0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0): 0.5
(0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0): 0.5
(2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0): 0.5
(2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0): 0.5
(2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0): 0.45
(2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0): 0
(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0): 0.5
(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0): 0.5
(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0): 0.5
(0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0): 0.5
(0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0): 0.5
(0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 1.0, 2.0): 0.5
(0.0, 1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0): 0.45
(1.0, 1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0): 0
(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0): 0.49967380210469
(0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0): 1.0095967948052998e-27
(0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0): 0.4955
(0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.0): 0.45
(0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 1.0): 0.5
(0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 2.0, 1.0): 0.5
(2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 2.0, 1.0): 0.45
